feature,impurity_importance,permutation_importance
litho_schist,0.17254,0.08737
rad_K,0.08345,0.00990
rad_anomaly,0.06912,0.00845
dist_structure_m,0.06522,0.00452
geochem,0.06264,0.00179
grav_resid,0.06115,0.01212
lineament_density,0.06064,0.01425
dist_fertile_granite_m,0.05876,0.00495
ratio_U_K,0.05462,0.00444
litho_gneiss,0.04826,0.02338
mag_analytic_signal,0.04807,0.00794
ratio_Th_K,0.04776,0.00427
mag_low,0.04443,0.00939
dem_roughness,0.03338,0.00239
dem_slope,0.03328,0.00589
litho_metamafic,0.01765,0.00026
intersection_density,0.01599,0.00034
litho_cover,0.01363,-0.00043
litho_granite,0.00940,0.00043
